sch,sch_dep,sch_par,sid,story_dep,story_par,text
10	a	a	_	DT	_	12	det	_	_
11	large	large	_	JJ	_	12	amod	_	_
12	tree	tree	_	NN	_	9	dobj	_	_
13	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	3	det	_	_
2	tree	tree	_	NN	_	3	compound	_	_
3	split	split	_	NN	_	0	root	_	_
4	apart	apart	_	RB	_	3	advmod	_	_
5	and	and	_	CC	_	3	cc	_	_
6	fell	fall	_	VBD	_	3	conj	_	_
7	on	on	_	IN	_	9	case	_	_
8	the	the	_	DT	_	9	det	_	_
9	yard	yard	_	NN	_	6	nmod	_	_
10	of	of	_	IN	_	12	case	_	_
11	a	a	_	DT	_	12	det	_	_
12	neighbor	neighbor	_	NN	_	9	nmod	_	_
13	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	narrator	narrator	_	NN	_	3	nsubj	_	_
3	began	begin	_	VBD	_	0	root	_	_
4	to	to	_	TO	_	6	mark	_	_
5	be	be	_	VB	_	6	cop	_	_
6	nervous	nervous	_	JJ	_	3	xcomp	_	_
7	because	because	_	IN	_	9	mark	_	_
8	it	it	_	PRP	_	9	nsubj	_	_
9	owned	own	_	VBD	_	6	advcl	_	_
10	a	a	_	DT	_	11	det	_	_
11	group	group	_	NN	_	9	dobj	_	_
12	of	of	_	IN	_	13	case	_	_
13	trees	tree	_	NNS	_	11	nmod	_	_
14	and	and	_	CC	_	9	cc	_	_
15	near	near	_	IN	_	17	case	_	_
16	the	the	_	DT	_	17	det	_	_
17	house	house	_	NN	_	9	conj	_	_
18	of	of	_	IN	_	20	case	_	_
19	the	the	_	DT	_	20	det	_	_
20	narrator	narrator	_	NN	_	17	nmod	_	_
21	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	narrator	narrator	_	NN	_	3	nsubj	_	_
3	began	begin	_	VBD	_	0	root	_	_
4	to	to	_	TO	_	6	mark	_	_
5	be	be	_	VB	_	6	auxpass	_	_
6	concerned	concern	_	VBN	_	3	xcomp	_	_
7	because	because	_	RB	_	37	advmod	_	_
8	--	--	_	:	_	13	punct	_	_
9	if	if	_	IN	_	13	mark	_	_
10	the	the	_	DT	_	12	det	_	_
11	first	first	_	JJ	_	12	amod	_	_
12	tree	tree	_	NN	_	13	nsubj	_	_
13	were	be	_	VBD	_	37	advcl	_	_
14	to	to	_	TO	_	16	mark	_	_
15	later	later	_	RB	_	16	advmod	_	_
16	fall	fall	_	VB	_	13	xcomp	_	_
17	,	,	_	,	_	13	punct	_	_
18	and	and	_	CC	_	13	cc	_	_
19	were	be	_	VBD	_	22	aux	_	_
20	to	to	_	TO	_	22	mark	_	_
21	later	later	_	RB	_	22	advmod	_	_
22	fall	fall	_	VB	_	13	conj	_	_
23	on	on	_	IN	_	25	case	_	_
24	the	the	_	DT	_	25	det	_	_
25	house	house	_	NN	_	22	nmod	_	_
26	of	of	_	IN	_	28	case	_	_
27	the	the	_	DT	_	28	det	_	_
28	narrator	narrator	_	NN	_	25	nmod	_	_
29	--	--	_	:	_	31	punct	_	_
30	the	the	_	DT	_	31	det	_	_
31	house	house	_	NN	_	37	nsubj	_	_
32	of	of	_	IN	_	34	case	_	_
33	the	the	_	DT	_	34	det	_	_
34	narrator	narrator	_	NN	_	31	nmod	_	_
35	would	would	_	MD	_	37	aux	_	_
36	have	have	_	VB	_	37	aux	_	_
37	begun	begin	_	VBN	_	6	ccomp	_	_
38	to	to	_	TO	_	40	mark	_	_
39	be	be	_	VB	_	40	auxpass	_	_
40	damaged	damage	_	VBN	_	37	xcomp	_	_
41	,	,	_	,	_	3	punct	_	_
42	and	and	_	CC	_	3	cc	_	_
43	the	the	_	DT	_	44	det	_	_
44	family	family	_	NN	_	49	nsubj	_	_
45	of	of	_	IN	_	47	case	_	_
46	the	the	_	DT	_	47	det	_	_
47	narrator	narrator	_	NN	_	44	nmod	_	_
48	would	would	_	MD	_	49	aux	_	_
49	begin	begin	_	VB	_	3	conj	_	_
50	to	to	_	TO	_	52	mark	_	_
51	be	be	_	VB	_	52	auxpass	_	_
52	wounded	wound	_	VBN	_	49	xcomp	_	_
53	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	wife	wife	_	NN	_	6	nsubj	_	_
3	of	of	_	IN	_	5	case	_	_
4	the	the	_	DT	_	5	det	_	_
5	narrator	narrator	_	NN	_	2	nmod	_	_
6	stayed	stay	_	VBD	_	0	root	_	_
7	in	in	_	IN	_	10	case	_	_
8	the	the	_	DT	_	10	det	_	_
9	safe	safe	_	JJ	_	10	amod	_	_
10	area	area	_	NN	_	6	nmod	_	_
11	of	of	_	IN	_	13	case	_	_
12	some	some	_	DT	_	13	det	_	_
13	home	home	_	NN	_	10	nmod	_	_
14	,	,	_	,	_	6	punct	_	_
15	a	a	_	DT	_	16	det	_	_
16	dog	dog	_	NN	_	17	nsubj	_	_
17	stayed	stay	_	VBD	_	6	ccomp	_	_
18	in	in	_	IN	_	20	case	_	_
19	the	the	_	DT	_	20	det	_	_
20	area	area	_	NN	_	17	nmod	_	_
21	of	of	_	IN	_	23	case	_	_
22	the	the	_	DT	_	23	det	_	_
23	home	home	_	NN	_	20	nmod	_	_
24	,	,	_	,	_	6	punct	_	_
25	and	and	_	CC	_	6	cc	_	_
26	the	the	_	DT	_	27	det	_	_
27	group	group	_	NN	_	33	nsubj	_	_
28	of	of	_	IN	_	29	case	_	_
29	children	child	_	NNS	_	27	nmod	_	_
30	of	of	_	IN	_	32	case	_	_
31	the	the	_	DT	_	32	det	_	_
32	narrator	narrator	_	NN	_	29	nmod	_	_
33	stayed	stay	_	VBD	_	6	conj	_	_
34	in	in	_	IN	_	36	case	_	_
35	the	the	_	DT	_	36	det	_	_
36	area	area	_	NN	_	33	nmod	_	_
37	of	of	_	IN	_	39	case	_	_
38	the	the	_	DT	_	39	det	_	_
39	home	home	_	NN	_	36	nmod	_	_
40	.	.	_	.	_	6	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	narrator	narrator	_	NN	_	3	nsubj	_	_
3	heard	hear	_	VBD	_	0	root	_	_
4	loud	loud	_	JJ	_	5	amod	_	_
5	noise	noise	_	NN	_	3	dobj	_	_
6	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	3	det	_	_
2	first	first	_	JJ	_	3	amod	_	_
3	tree	tree	_	NN	_	4	nsubj	_	_
4	fell	fall	_	VBD	_	0	root	_	_
5	onto	onto	_	IN	_	7	case	_	_
6	a	a	_	DT	_	7	det	_	_
7	RV	rv	_	NN	_	4	nmod	_	_
8	of	of	_	IN	_	10	case	_	_
9	the	the	_	DT	_	10	det	_	_
10	neighbor	neighbor	_	NN	_	7	nmod	_	_
11	,	,	_	,	_	4	punct	_	_
12	and	and	_	CC	_	4	cc	_	_
13	the	the	_	DT	_	14	det	_	_
14	narrator	narrator	_	NN	_	15	nsubj	_	_
15	looked	look	_	VBD	_	4	conj	_	_
16	through	through	_	IN	_	18	case	_	_
17	the	the	_	DT	_	18	det	_	_
18	window	window	_	NN	_	15	nmod	_	_
19	of	of	_	IN	_	21	case	_	_
20	the	the	_	DT	_	21	det	_	_
21	narrator	narrator	_	NN	_	18	nmod	_	_
22	.	.	_	.	_	4	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	group	group	_	NN	_	5	nsubj	_	_
3	of	of	_	IN	_	4	case	_	_
4	trees	tree	_	NNS	_	2	nmod	_	_
5	began	begin	_	VBD	_	0	root	_	_
6	to	to	_	TO	_	8	mark	_	_
7	be	be	_	VB	_	8	aux	_	_
8	falling	fall	_	VBG	_	5	xcomp	_	_
9	.	.	_	.	_	5	punct	_	_

1	A	a	_	DT	_	7	det	_	_
2	fourth	fourth	_	JJ	_	7	amod	_	_
3	(	(	_	-LRB-	_	7	punct	_	_
4	#	#	_	#	_	7	compound	_	_
5	2	2	_	LS	_	7	dep	_	_
6	)	)	_	-RRB-	_	7	punct	_	_
7	tree	tree	_	NN	_	8	nsubj	_	_
8	fell	fall	_	VBD	_	0	root	_	_
9	on	on	_	IN	_	12	case	_	_
10	a	a	_	DT	_	12	det	_	_
11	lawn	lawn	_	NN	_	12	compound	_	_
12	mower	mower	_	NN	_	8	nmod	_	_
13	.	.	_	.	_	8	punct	_	_

1	The	the	_	DT	_	3	det	_	_
2	fourth	fourth	_	JJ	_	3	amod	_	_
3	tree	tree	_	NN	_	4	nsubj	_	_
4	fell	fall	_	VBD	_	0	root	_	_
5	on	on	_	IN	_	8	case	_	_
6	a	a	_	DT	_	8	det	_	_
7	golf	golf	_	NN	_	8	compound	_	_
8	cart	cart	_	NN	_	4	nmod	_	_
9	.	.	_	.	_	4	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	group	group	_	NN	_	7	nsubj	_	_
3	of	of	_	IN	_	4	case	_	_
4	trees	tree	_	NNS	_	2	nmod	_	_
5	did	do	_	VBD	_	7	aux	_	_
6	n't	not	_	RB	_	7	neg	_	_
7	fall	fall	_	VB	_	0	root	_	_
8	on	on	_	IN	_	10	case	_	_
9	the	the	_	DT	_	10	det	_	_
10	house	house	_	NN	_	7	nmod	_	_
11	of	of	_	IN	_	13	case	_	_
12	the	the	_	DT	_	13	det	_	_
13	narrator	narrator	_	NN	_	10	nmod	_	_
14	.	.	_	.	_	7	punct	_	_

1	A	a	_	DT	_	2	det	_	_
2	group	group	_	NN	_	7	nsubj	_	_
3	of	of	_	IN	_	4	case	_	_
4	neighbors	neighbor	_	NNS	_	2	nmod	_	_
5	did	do	_	VBD	_	7	aux	_	_
6	n't	not	_	RB	_	7	neg	_	_
7	begin	begin	_	VB	_	0	root	_	_
8	to	to	_	TO	_	10	mark	_	_
9	be	be	_	VB	_	10	cop	_	_
10	fortunate	fortunate	_	JJ	_	7	xcomp	_	_
11	.	.	_	.	_	7	punct	_	_

1	President	President	_	NNP	_	2	compound	_	_
2	Bush	Bush	_	NNP	_	3	nsubj	_	_
3	came	come	_	VBD	_	0	root	_	_
4	into	into	_	IN	_	6	case	_	_
5	Baton	Baton	_	NNP	_	6	compound	_	_
6	Rouge	Rouge	_	NNP	_	3	nmod	_	_
7	and	and	_	CC	_	3	cc	_	_
8	in	in	_	IN	_	11	mark	_	_
9	order	order	_	NN	_	8	mwe	_	_
10	to	to	_	TO	_	11	mark	_	_
11	assess	assess	_	VB	_	3	conj	_	_
12	Baton	Baton	_	NNP	_	13	compound	_	_
13	Rouge	Rouge	_	NNP	_	11	dobj	_	_
14	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	group	group	_	NN	_	13	nsubj	_	_
3	of	of	_	IN	_	4	case	_	_
4	friends	friend	_	NNS	_	2	nmod	_	_
5	of	of	_	IN	_	7	case	_	_
6	the	the	_	DT	_	7	det	_	_
7	cabinet	cabinet	_	NN	_	4	nmod	_	_
8	of	of	_	IN	_	10	case	_	_
9	a	a	_	DT	_	10	det	_	_
10	governor	governor	_	NN	_	7	nmod	_	_
11	named	name	_	VBN	_	10	acl	_	_
12	Jindal	Jindal	_	NNP	_	11	xcomp	_	_
13	restored	restore	_	VBD	_	0	root	_	_
14	order	order	_	NN	_	13	dobj	_	_
15	,	,	_	,	_	13	punct	_	_
16	and	and	_	CC	_	13	cc	_	_
17	the	the	_	DT	_	18	det	_	_
18	narrator	narrator	_	NN	_	19	nsubj	_	_
19	had	have	_	VBD	_	13	conj	_	_
20	the	the	_	DT	_	21	det	_	_
21	group	group	_	NN	_	19	dobj	_	_
22	of	of	_	IN	_	23	case	_	_
23	friends	friend	_	NNS	_	21	nmod	_	_
24	of	of	_	IN	_	26	case	_	_
25	the	the	_	DT	_	26	det	_	_
26	cabinet	cabinet	_	NN	_	23	nmod	_	_
27	of	of	_	IN	_	28	case	_	_
28	Jindal	Jindal	_	NNP	_	26	nmod	_	_
29	.	.	_	.	_	13	punct	_	_

1	Storm	storm	_	NN	_	2	nsubj	_	_
2	stopped	stop	_	VBD	_	0	root	_	_
3	.	.	_	.	_	2	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	narrator	narrator	_	NN	_	5	nsubj	_	_
3	did	do	_	VBD	_	5	aux	_	_
4	n't	not	_	RB	_	5	neg	_	_
5	have	have	_	VB	_	0	root	_	_
6	electricity	electricity	_	NN	_	5	dobj	_	_
7	because	because	_	IN	_	13	mark	_	_
8	a	a	_	DT	_	9	det	_	_
9	group	group	_	NN	_	13	nsubj	_	_
10	of	of	_	IN	_	12	case	_	_
11	power	power	_	NN	_	12	compound	_	_
12	lines	line	_	NNS	_	9	nmod	_	_
13	was	be	_	VBD	_	5	advcl	_	_
14	down	down	_	RB	_	13	advmod	_	_
15	.	.	_	.	_	5	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	generator	generator	_	NN	_	5	nsubj	_	_
3	did	do	_	VBD	_	5	aux	_	_
4	n't	not	_	RB	_	5	neg	_	_
5	begin	begin	_	VB	_	0	root	_	_
6	to	to	_	TO	_	8	mark	_	_
7	be	be	_	VB	_	8	aux	_	_
8	working	work	_	VBG	_	5	xcomp	_	_
9	.	.	_	.	_	5	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	narrator	narrator	_	NN	_	3	nsubj	_	_
3	brought	bring	_	VBD	_	0	root	_	_
4	the	the	_	DT	_	5	det	_	_
5	generator	generator	_	NN	_	3	dobj	_	_
6	in	in	_	IN	_	7	case	_	_
7	repair	repair	_	NN	_	3	nmod	_	_
8	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	parent	parent	_	NN	_	6	nsubj	_	_
3	of	of	_	IN	_	5	case	_	_
4	the	the	_	DT	_	5	det	_	_
5	narrator	narrator	_	NN	_	2	nmod	_	_
6	had	have	_	VBD	_	0	root	_	_
7	electricity	electricity	_	NN	_	6	dobj	_	_
8	.	.	_	.	_	6	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	narrator	narrator	_	NN	_	3	nsubj	_	_
3	brought	bring	_	VBD	_	0	root	_	_
4	the	the	_	DT	_	5	det	_	_
5	family	family	_	NN	_	3	dobj	_	_
6	of	of	_	IN	_	8	case	_	_
7	the	the	_	DT	_	8	det	_	_
8	narrator	narrator	_	NN	_	5	nmod	_	_
9	to	to	_	TO	_	11	case	_	_
10	the	the	_	DT	_	11	det	_	_
11	house	house	_	NN	_	3	nmod	_	_
12	of	of	_	IN	_	14	case	_	_
13	the	the	_	DT	_	14	det	_	_
14	parent	parent	_	NN	_	11	nmod	_	_
15	of	of	_	IN	_	17	case	_	_
16	the	the	_	DT	_	17	det	_	_
17	narrator	narrator	_	NN	_	14	nmod	_	_
18	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	group	group	_	NN	_	6	nsubj	_	_
3	of	of	_	IN	_	5	case	_	_
4	power	power	_	NN	_	5	compound	_	_
5	lines	line	_	NNS	_	2	nmod	_	_
6	began	begin	_	VBD	_	0	root	_	_
7	to	to	_	TO	_	6	xcomp	_	_
8	be	be	_	VB	_	7	dep	_	_
9	down	down	_	RB	_	8	advmod	_	_
10	over	over	_	IN	_	12	case	_	_
11	a	a	_	DT	_	12	det	_	_
12	city	city	_	NN	_	9	nmod	_	_
13	,	,	_	,	_	8	punct	_	_
14	and	and	_	CC	_	8	cc	_	_
15	the	the	_	DT	_	17	det	_	_
16	fourth	fourth	_	JJ	_	17	amod	_	_
17	tree	tree	_	NN	_	18	nsubj	_	_
18	began	begin	_	VBD	_	8	conj	_	_
19	to	to	_	TO	_	24	mark	_	_
20	be	be	_	VB	_	24	cop	_	_
21	down	down	_	RB	_	24	advmod	_	_
22	over	over	_	IN	_	24	case	_	_
23	the	the	_	DT	_	24	det	_	_
24	city	city	_	NN	_	18	xcomp	_	_
25	.	.	_	.	_	6	punct	_	_

","(ROOT (S (ADVP (RB Once)) (, ,) (NP (NN storm)) (VP (VBD was) (VP (VBG occurring) (PP (IN in) (NP (NNP Louisiana))))) (. .)))
(ROOT (S (NP (DT A) (NN narrator)) (VP (VP (VBD watched) (NP (NP (DT a) (NN channel)) (VP (VBN named) (NP (NNP Weather) (NNP Channel))))) (CC and) (VP (VBD watched) (NP (DT some) (JJ local) (NN news) (NNS media)))) (. .)))
(ROOT (S (NP (DT The) (NN narrator)) (VP (VBD went) (ADVP (RB back)) (PP (TO to) (NP (NP (DT a) (NN store)) (VP (VBN named) (NP (NP (NNP Home) (NNP Depot)) (PP (IN in) (NP (NN order)))) (S (VP (TO to) (VP (VB purchase) (NP (DT a) (JJ portable) (NN generator))))))))) (. .)))
(ROOT (S (NP (DT The) (NN narrator)) (VP (VP (VBD filled) (NP (NP (DT a) (NN group)) (PP (IN of) (NP (NNS cars))))) (CC and) (VP (VBD filled) (NP (NP (DT the) (NN container)) (PP (IN of) (NP (DT some) (NN gasoline)))))) (. .)))
(ROOT (S (NP (DT The) (NN narrator)) (VP (VBD purchased) (NP (NP (DT an) (JJ important) (NN group)) (PP (IN of) (NP (NNS things))))) (. .)))
(ROOT (S (NP (NN Storm)) (VP (VBD occurred)) (. .)))
(ROOT (S (NP (DT The) (NN narrator)) (VP (VBD lost) (NP (NN electricity))) (. .)))
(ROOT (S (NP (DT Some) (NN wind)) (VP (VBD occurred)) (. .)))
(ROOT (S (NP (NP (DT An) (NN area)) (PP (IN of) (NP (NP (DT a) (NN neighborhood)) (PP (IN of) (NP (DT the) (NN narrator)))))) (VP (VP (VBD had) (NP (NP (DT a) (JJ large) (NN group)) (PP (IN of) (S (VP (VB pine) (NP (NNS trees))))))) (CC and) (VP (VBD had) (NP (NP (DT a) (NN group)) (PP (IN of) (NP (NN oak) (NNS trees)))))) (. .)))
(ROOT (S (NP (DT The) (NN narrator)) (VP (VP (VBD stood) (PRT (RP up)) (PP (IN on) (NP (DT a) (NN patio)))) (CC and) (VP (VBD watched) (NP (DT a) (JJ large) (NN tree)))) (. .)))
(ROOT (S (NP (DT The) (NN tree)) (VP (VP (NP (NN split)) (ADVP (RB apart))) (CC and) (VP (VBD fell) (PP (IN on) (NP (NP (DT the) (NN yard)) (PP (IN of) (NP (DT a) (NN neighbor))))))) (. .)))
(ROOT (S (NP (DT The) (NN narrator)) (VP (VBD began) (S (VP (TO to) (VP (VP (VB be) (ADJP (JJ nervous)) (SBAR (IN because) (S (NP (PRP it)) (VP (VBD owned) (NP (NP (DT a) (NN group)) (PP (IN of) (NP (NNS trees)))))))) (CC and) (VP (IN near) (S (NP (NP (DT the) (NN house)) (PP (IN of) (NP (DT the) (NN narrator)))))))))) (. .)))
(ROOT (S (S (NP (DT The) (NN narrator)) (VP (VBD began) (S (VP (TO to) (VP (VB be) (VP (VP (VBN concerned) (SBAR (ADVP (RB because) (: --)) (IN if) (S (NP (DT the) (JJ first) (NN tree)) (VP (VBD were) (S (VP (TO to) (VP (ADVP (RB later)) (VB fall)))))))) (, ,) (CC and) (VP (VBD were)))))) (S (VP (TO to) (VP (ADVP (RB later)) (VB fall) (PP (IN on) (NP (NP (DT the) (NN house)) (PP (IN of) (NP (DT the) (NN narrator)))))))))) (: --) (S (S (NP (NP (DT the) (NN house)) (PP (IN of) (NP (DT the) (NN narrator)))) (VP (MD would) (VP (VB have) (VP (VBN begun) (S (VP (TO to) (VP (VB be) (VP (VBN damaged))))))))) (, ,) (CC and) (S (NP (NP (DT the) (NN family)) (PP (IN of) (NP (DT the) (NN narrator)))) (VP (MD would) (VP (VB begin) (S (VP (TO to) (VP (VB be) (VP (VBN wounded))))))))) (. .)))
(ROOT (S (S (NP (NP (DT The) (NN wife)) (PP (IN of) (NP (DT the) (NN narrator)))) (VP (VBD stayed) (PP (IN in) (NP (NP (DT the) (JJ safe) (NN area)) (PP (IN of) (NP (DT some) (NN home))))))) (PRN (, ,) (S (NP (DT a) (NN dog)) (VP (VBD stayed) (PP (IN in) (NP (NP (DT the) (NN area)) (PP (IN of) (NP (DT the) (NN home))))))) (, ,)) (CC and) (S (NP (NP (DT the) (NN group)) (PP (IN of) (NP (NP (NNS children)) (PP (IN of) (NP (DT the) (NN narrator)))))) (VP (VBD stayed) (PP (IN in) (NP (NP (DT the) (NN area)) (PP (IN of) (NP (DT the) (NN home))))))) (. .)))
(ROOT (S (NP (DT The) (NN narrator)) (VP (VBD heard) (NP (JJ loud) (NN noise))) (. .)))
(ROOT (S (S (NP (DT The) (JJ first) (NN tree)) (VP (VBD fell) (PP (IN onto) (NP (NP (DT a) (NN RV)) (PP (IN of) (NP (DT the) (NN neighbor))))))) (, ,) (CC and) (S (NP (DT the) (NN narrator)) (VP (VBD looked) (PP (IN through) (NP (NP (DT the) (NN window)) (PP (IN of) (NP (DT the) (NN narrator))))))) (. .)))
(ROOT (S (NP (NP (DT The) (NN group)) (PP (IN of) (NP (NNS trees)))) (VP (VBD began) (S (VP (TO to) (VP (VB be) (VP (VBG falling)))))) (. .)))
(ROOT (S (NP (DT A) (NP (NP (JJ fourth)) (PRN (-LRB- -LRB-) (NP (QP (# #) (LS 2))) (-RRB- -RRB-))) (NN tree)) (VP (VBD fell) (PP (IN on) (NP (DT a) (NN lawn) (NN mower)))) (. .)))
(ROOT (S (NP (DT The) (JJ fourth) (NN tree)) (VP (VBD fell) (PP (IN on) (NP (DT a) (NN golf) (NN cart)))) (. .)))
(ROOT (S (NP (NP (DT The) (NN group)) (PP (IN of) (NP (NNS trees)))) (VP (VBD did) (RB n't) (VP (VB fall) (PP (IN on) (NP (NP (DT the) (NN house)) (PP (IN of) (NP (DT the) (NN narrator))))))) (. .)))
(ROOT (S (NP (NP (DT A) (NN group)) (PP (IN of) (NP (NNS neighbors)))) (VP (VBD did) (RB n't) (VP (VB begin) (S (VP (TO to) (VP (VB be) (ADJP (JJ fortunate))))))) (. .)))
(ROOT (S (NP (NNP President) (NNP Bush)) (VP (VBD came) (PP (PP (IN into) (NP (NNP Baton) (NNP Rouge))) (CC and) (PP (IN in) (NP (NN order)))) (S (VP (TO to) (VP (VB assess) (NP (NNP Baton) (NNP Rouge)))))) (. .)))
(ROOT (S (S (NP (NP (DT The) (NN group)) (PP (IN of) (NP (NP (NNS friends)) (PP (IN of) (NP (NP (DT the) (NN cabinet)) (PP (IN of) (NP (NP (DT a) (NN governor)) (VP (VBN named) (NP (NNP Jindal)))))))))) (VP (VBD restored) (NP (NN order)))) (, ,) (CC and) (S (NP (DT the) (NN narrator)) (VP (VBD had) (NP (NP (DT the) (NN group)) (PP (IN of) (NP (NP (NNS friends)) (PP (IN of) (NP (NP (DT the) (NN cabinet)) (PP (IN of) (NP (NNP Jindal)))))))))) (. .)))
(ROOT (S (NP (NN Storm)) (VP (VBD stopped)) (. .)))
(ROOT (S (NP (DT The) (NN narrator)) (VP (VBD did) (RB n't) (VP (VB have) (NP (NN electricity)) (SBAR (IN because) (S (NP (NP (DT a) (NN group)) (PP (IN of) (NP (NN power) (NNS lines)))) (VP (VBD was) (ADVP (RB down))))))) (. .)))
(ROOT (S (NP (DT The) (NN generator)) (VP (VBD did) (RB n't) (VP (VB begin) (S (VP (TO to) (VP (VB be) (VP (VBG working))))))) (. .)))
(ROOT (S (NP (DT The) (NN narrator)) (VP (VBD brought) (NP (DT the) (NN generator)) (PP (IN in) (NP (NN repair)))) (. .)))
(ROOT (S (NP (NP (DT The) (NN parent)) (PP (IN of) (NP (DT the) (NN narrator)))) (VP (VBD had) (NP (NN electricity))) (. .)))
(ROOT (S (NP (DT The) (NN narrator)) (VP (VBD brought) (NP (NP (DT the) (NN family)) (PP (IN of) (NP (DT the) (NN narrator)))) (PP (TO to) (NP (NP (DT the) (NN house)) (PP (IN of) (NP (NP (DT the) (NN parent)) (PP (IN of) (NP (DT the) (NN narrator)))))))) (. .)))
(ROOT (S (S (NP (NP (DT The) (NN group)) (PP (IN of) (NP (NN power) (NNS lines)))) (VP (VBD began) (S (VP (TO to) (VP (VB be) (ADVP (RB down) (PP (IN over) (NP (DT a) (NN city))))))))) (, ,) (CC and) (S (NP (DT the) (JJ fourth) (NN tree)) (VP (VBD began) (S (VP (TO to) (VP (VB be) (ADVP (RB down) (PP (IN over) (NP (DT the) (NN city))))))))) (. .)))
",blogs-03,"1	Louisiana	Louisiana	_	NNP	_	4	nsubjpass	_	_
2	was	be	_	VBD	_	4	auxpass	_	_
3	adversely	adversely	_	RB	_	4	advmod	_	_
4	affected	affect	_	VBN	_	0	root	_	_
5	by	by	_	IN	_	7	case	_	_
6	Hurricane	Hurricane	_	NNP	_	7	compound	_	_
7	Gustav	Gustav	_	NNP	_	4	nmod	_	_
8	.	.	_	.	_	4	punct	_	_

1	I	I	_	PRP	_	3	nsubj	_	_
2	've	have	_	VBP	_	3	aux	_	_
3	added	add	_	VBN	_	0	root	_	_
4	information	information	_	NN	_	3	dobj	_	_
5	to	to	_	TO	_	9	case	_	_
6	the	the	_	DT	_	9	det	_	_
7	left	left	_	JJ	_	9	amod	_	_
8	hand	hand	_	NN	_	9	compound	_	_
9	side	side	_	NN	_	3	nmod	_	_
10	of	of	_	IN	_	12	case	_	_
11	my	my	_	PRP$	_	12	nmod:poss	_	_
12	blog	blog	_	NN	_	9	nmod	_	_
13	where	where	_	WRB	_	16	advmod	_	_
14	you	you	_	PRP	_	16	nsubj	_	_
15	can	can	_	MD	_	16	aux	_	_
16	assist	assist	_	VB	_	9	acl:relcl	_	_
17	the	the	_	DT	_	19	det	_	_
18	hurricane	hurricane	_	NN	_	19	compound	_	_
19	relief	relief	_	NN	_	16	dobj	_	_
20	.	.	_	.	_	3	punct	_	_

1	Here	here	_	RB	_	2	advmod	_	_
2	's	be	_	VBZ	_	0	root	_	_
3	what	what	_	WP	_	4	nsubj	_	_
4	happened	happen	_	VBD	_	2	dep	_	_
5	to	to	_	TO	_	6	case	_	_
6	me	I	_	PRP	_	4	nmod	_	_
7	and	and	_	CC	_	4	cc	_	_
8	my	my	_	PRP$	_	9	nmod:poss	_	_
9	family	family	_	NN	_	4	conj	_	_
10	:	:	_	:	_	4	punct	_	_
11	We	we	_	PRP	_	12	nsubj	_	_
12	watched	watch	_	VBD	_	4	parataxis	_	_
13	the	the	_	DT	_	14	det	_	_
14	storm	storm	_	NN	_	15	nsubj	_	_
15	moving	move	_	VBG	_	12	dep	_	_
16	in	in	_	IN	_	17	case	_	_
17	all	all	_	DT	_	15	nmod	_	_
18	of	of	_	IN	_	20	case	_	_
19	last	last	_	JJ	_	20	amod	_	_
20	weekend	weekend	_	NN	_	17	nmod	_	_
21	on	on	_	IN	_	24	case	_	_
22	the	the	_	DT	_	24	det	_	_
23	Weather	Weather	_	NNP	_	24	compound	_	_
24	Channel	Channel	_	NNP	_	15	nmod	_	_
25	and	and	_	CC	_	24	cc	_	_
26	local	local	_	JJ	_	27	amod	_	_
27	news	news	_	NN	_	24	conj	_	_
28	.	.	_	.	_	2	punct	_	_

1	I	I	_	PRP	_	2	nsubj	_	_
2	went	go	_	VBD	_	0	root	_	_
3	to	to	_	TO	_	5	case	_	_
4	Home	Home	_	NNP	_	5	compound	_	_
5	Depot	Depot	_	NNP	_	2	nmod	_	_
6	just	just	_	RB	_	9	advmod	_	_
7	in	in	_	IN	_	9	case	_	_
8	the	the	_	DT	_	9	det	_	_
9	nick	nick	_	NN	_	2	nmod	_	_
10	of	of	_	IN	_	11	case	_	_
11	time	time	_	NN	_	9	nmod	_	_
12	to	to	_	TO	_	13	mark	_	_
13	purchase	purchase	_	VB	_	2	xcomp	_	_
14	a	a	_	DT	_	16	det	_	_
15	portable	portable	_	JJ	_	16	amod	_	_
16	generator	generator	_	NN	_	13	dobj	_	_
17	.	.	_	.	_	2	punct	_	_

1	I	I	_	PRP	_	2	nsubj	_	_
2	filled	fill	_	VBD	_	0	root	_	_
